chemical.id,conc,plate.id,well,remove,bottle.id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,1,18046,E01,0,C125605,0,0,0,0,0,0,0,9.3967025,23.6328059375,0,0,0,0,0,0,0,0,0,9.5269035625,0.0651041875,22.352432625,0,0,0,0,0,0,0,0,0,0,12.3698040625,19.2925346875,0,17.05728125,8.48521875,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,F01,0,C125605,0,0,0,0,0,0,20.5512215625,0,0,0,7.291663125,2.3437521875,5.707465625,13.975720625,0,0,0,7.508682,0,0,0,0,0,0,0,19.205727125,0,0,0,7.508681875,0,0,17.01389375,0.84635375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,G01,0,C125605,0,0,0,22.873303125,0,0,0,0,0.021701375,28.49394375,0.108506875,0,0,0,0,0,0,0,0,0,0,22.222221875,8.289925,0,0,0,26.17189,0,0,0,0,0,0,14.7786621875,0,14.6484445,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,0,18046,H01,0,C125605,0,0,23.849840625,0,0,0,0,0,0,0,0,0,0,0.67274375,8.8324640625,0,0,0,0,0,0,19.270818125,1.5408,0,0,0,0,0,0,0,0,0,21.614556875,36.241334375,1.410591375,0,0,0,0,0,0,0,13.888884375,20.703107625,0,0,0,0,0
3530,1,18046,A02,0,C125605,0,0,0,0,0,0,0,0,0.021701375,0,3.8194449375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3420125,0.7161446875,0,7.3784743125,0,0.2387153125,3.949654125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,B02,0,C125605,0,0,0,0,14.3229009375,0.737846875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,C02,1,C125605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3530,1,18046,D02,1,C125605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3530,1,18046,E02,0,C125605,0,0,0,13.281253125,1.302082625,0,0,0,2.06163125,3.42881825,0,0.021701375,4.92622,0,0,0,9.8307375,5.273438875,0,0,0,0,0,0,18.2074584375,0,0,0,0,0,0,0,0,0,15.494776375,0,0,0,0,0,0,0,19.6614584375,0,0,0,0,0,0
3530,1,18046,F02,0,C125605,0,0,0,0,0,0,0,0,21.506078125,0,0,0,0,0,0,19.35765,0.0434028125,0,0,0,0,0,0,0,0.021701375,0,21.94013125,0,0,0,0,0,0,0,0,0,0,0,0,26.931435,0.629340125,0,0,0,0,0,0,0,0
3530,1,18046,G02,0,C125605,9.027790625,8.376734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.72310625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,0,18046,H02,0,C125605,0,0,0,0,0,0,0,0,0,0,0,15.3429,0.32552075,0,0,5.23003125,12.6736115625,0,0,0,0,0,0,0,15.6683884375,0.108506875,0,15.6684028125,0.0434028125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,18046,A03,0,C125605,0,0,0,0,0,0,9.85241875,5.7074621875,0,0,0,0,14.8003645,0.0651041875,0,6.4453115625,0,15.3862884375,0.2170140625,0,0,0,0,7.096353875,0.651041375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0
