chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
3529,C844503,1,18099,A11,0,0,0,0,0,0,15.36459,1.9097225,0,0,0,0,4.036451375,12.348075,0,0,0,0,19.032109375,0.086805625,0,0,0,0,0,0,16.40625625,0,0,0,0,0,16.4713604375,0,7.682291875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,A12,3.971353875,5.555555625,3.3420153125,0,0,0,12.304685625,0.954859625,0,0,0,0,0,0,10.2213484375,0.021701375,0,12.5000009375,0,0,0,0,0,0,0,12.0225823125,0,0,0,14.2144009375,0,3.7760409375,22.2005141875,15.8854223125,10.5685635625,0.0434028125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,B01,0,6.011271875,3.7326390625,0,0,0,6.857634375,1.1501744375,0,4.8611111875,0,7.0095379375,0,0,3.342013375,0,0,0,5.55555625,1.106770125,0,0,0,0,5.23003575,0.13020825,0,0,0,0,3.42881875,0.9765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,B02,0,0,0,0,0,0,0,0,0,10.0477290625,0.47743075,0,0,0,0,10.590265625,0.3472221875,0,0,0,0,0,9.3967040625,0,0,0,0,0,2.86458375,0.1953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0
3529,C844503,1,18099,B03,0,16.536446875,5.078124625,0,0,0,0,0,0,16.4279125,3.4505194375,0.065104125,0,0,0,26.0199966875,5.8376771875,0,0,0,0,21.20224825,0,0,0,0,0,20.9852545,0,0,0,8.420128125,84.2664875,34.0494809375,5.186630125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,B04,0.6727416875,0,6.6406253125,0.8029525,0,0,0,0,0,0,0,0,0,2.7560759375,0,0,0,8.7239634375,0.021701375,0,0,0,0,5.59894375,4.9045275,0,0,0,0,8.89756875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,B05,0,0,18.164052,0,0,0.021701375,0,0,0,0,14.930557,0,0,0,14.47483125,1.497395125,0.021701375,0,10.4817710625,0.95486075,0,18.793396875,0,0,0,5.099828125,1.801213875,0,0,0,7.421884375,4.5138915625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,B06,0,0,0,0,0.021701375,8.5937403125,0.0434028125,0,0,0,12.5433846875,0,1.84461875,3.5156241875,0,0,8.50694375,0.4991318125,0,0.021701375,10.3298840625,0,0,0,7.7257051875,0,0,7.70399325,0,9.54860825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,B07,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0
3529,C844503,1,18099,B08,0,0,0,12.08766075,0,0,0,0,0,0,0,0,5.62066075,0,0,0,0,0,13.1076254375,0,0,4.7960078125,0,3.6675360625,0,0,8.7239454375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
