chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
3530,C125605,0,18038,H10,0,0,0,0,7.8993116875,0.1085069375,0.021701375,0,0,0,0,11.4366335625,0,0,0,0,0.021701375,7.921006875,0.4123259375,0,0,12.456596875,0.086805625,0,0,0,0,0,0,2.712675,4.6875023125,0,0,0,5.881084375,6.4670009375,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18038,H11,0.1519098125,0,0,0,12.3914755625,6.18488125,2.235243125,0,0,0,7.3350715,0.0651040625,0,11.3715221875,0,0,0,0,0,0,0,0,0,8.832459375,2.5390629375,0,0,0,0,0,8.984367625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18038,H12,0,0,13.2812628125,0,0,0,0,2.278646875,3.16840325,0,0,0,0,0,0,0,0,14.8871571875,15.3862804375,0,0,0,0,0,0,5.4470625,4.2968746875,0,0,0,0,0,19.8567684375,59.96090625,38.6501553125,22.3090184375,15.0824841875,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H01,0,0,9.570319375,0,0,0,0,0,7.5954858125,0,0,0,0,0,0,0,0,0,0,0,0,0.0651040625,6.29340125,0,0,0,3.342015625,0.542535,2.473958875,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H02,2.061632625,0,0,7.573784375,0,0,19.74826875,0.0868054375,0,0,0,0,0,9.700521875,0.5425345,0,0,0,0,17.6866246875,0,0,0,22.8298565625,0,0,0,0,8.289934375,0,0,0,1.106771875,15.36459375,21.679695125,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H03,8.96267075,0,4.7092153125,2.5173590625,0,16.3411671875,0.151909625,0,0,0,0,0,10.9592290625,0.021701375,0,17.5564121875,0,0,0,0,0,6.4019218125,0,15.6466890625,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H04,13.5850665625,0,0,0,0,16.406225,0,0,0,0,0,11.111115625,3.3854196875,0,0,0.021701375,0,15.494785,0.347221875,0,0,0,0,15.6466946875,0,0,0,0,13.7152875,2.0616328125,0,0,0,0,0,0,0,0,0,12.478309375,2.2352434375,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,C125605,0,18039,H07,0,3.059896875,0,0,0,0,2.3437504375,0,0,0,0,4.47048325,0,0,4.0581600625,0,0,3.472221875,0.108506875,0.021701375,0,0,3.1901053125,0,0,0,0,0,0,0,0,0,4.1666646875,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0
3530,C125605,0,18039,H08,0,0,0,11.480044375,0,0,0,0,8.138006875,1.974825,0,0,7.0963524375,0.0868054375,6.20659625,2.430558125,0,9.85243125,3.9279525,0,0,0,0,9.223081875,2.408850625,0,0,5.2083340625,2.86458575,0,11.5017409375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0
